"Query","QueryPath","Custom","PCI DSS v3.2","OWASP Top 10 2013","FISMA 2014","NIST SP 800-53","OWASP Top 10 2017","OWASP Mobile Top 10 2016","SrcFileName","Line","Column","NodeId","Name","DestFileName","DestLine","DestColumn","DestNodeId","DestName","Result State","Result Severity","Assigned To","Comment","Link","Result Status"
"Deserialization of Untrusted Data","Java\Cx\Java High Risk\Deserialization of Untrusted Data Version:1","","","","","","A8-Insecure Deserialization","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/insecure-deserialization/src/main/java/org/owasp/webgoat/plugin/InsecureDeserializationTask.java","56","49","1","token","WebGoat-8.0.0.M23/webgoat-lessons/insecure-deserialization/src/main/java/org/owasp/webgoat/plugin/InsecureDeserializationTask.java","74","31","12","readObject","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=415","New"
"Deserialization of Untrusted Data","Java\Cx\Java High Risk\Deserialization of Untrusted Data Version:1","","","","","","A8-Insecure Deserialization","M7-Client Code Quality","WebGoat-8.0.0.M23/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java","53","67","1","payload","WebGoat-8.0.0.M23/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java","86","53","3","fromXML","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=416","New"
"Client DOM XSS","JavaScript\Cx\JavaScript High Risk\Client DOM XSS Version:1","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","Access Control","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","webgoat-8.0.0.m23/webgoat-container/src/main/resources/static/plugins/bootstrap-wysihtml5/js/wysihtml5-0.3.0.js","5794","41","1","href","webgoat-8.0.0.m23/webgoat-container/src/main/resources/static/plugins/bootstrap-wysihtml5/js/wysihtml5-0.3.0.js","5796","7","5","innerHTML","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=46","New"
"Stored XSS","Java\Cx\Java High Risk\Stored XSS Version:2","","PCI DSS (3.2) - 6.5.7 - Cross-site scripting (XSS)","A3-Cross-Site Scripting (XSS)","System And Information Integrity","SI-15 Information Output Filtering (P0)","A7-Cross-Site Scripting (XSS)","","WebGoat-8.0.0.M23/webgoat-lessons/missing-function-ac/src/main/java/org/owasp/webgoat/plugin/Users.java","35","59","1","executeQuery","WebGoat-8.0.0.M23/webgoat-lessons/missing-function-ac/src/main/java/org/owasp/webgoat/plugin/Users.java","54","28","10","allUsersMap","To Verify","High","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=438","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java","112","10","1","password","WebGoat-8.0.0.M23/webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java","112","10","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=85","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-container/src/main/java/org/owasp/webgoat/users/WebGoatUser.java","28","20","1","password","WebGoat-8.0.0.M23/webgoat-container/src/main/java/org/owasp/webgoat/users/WebGoatUser.java","28","20","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=86","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTRefreshEndpoint.java","42","16","1","password","WebGoat-8.0.0.M23/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTRefreshEndpoint.java","42","16","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=87","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","106","20","1","passwordTom","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","106","20","1","passwordTom","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=88","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/User.java","38","20","1","password","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/User.java","38","20","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=89","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6b.java","65","16","1","password","WebGoat-8.0.0.M23/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6b.java","65","16","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=90","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webwolf/src/main/java/org/owasp/webwolf/user/WebGoatUser.java","28","20","1","password","WebGoat-8.0.0.M23/webwolf/src/main/java/org/owasp/webwolf/user/WebGoatUser.java","28","20","1","password","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=91","New"
"Heap Inspection","Java\Cx\Java Medium Threat\Heap Inspection Version:3","","","A6-Sensitive Data Exposure","Media Protection","SC-4 Information in Shared Resources (P1)","A3-Sensitive Data Exposure","","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","38","40","1","usersToTomPassword","WebGoat-8.0.0.M23/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/ResetLinkAssignment.java","38","40","1","usersToTomPassword","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=92","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/BlindSendFileAssignment.java","74","56","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","10","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=73","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/ContentTypeAssignment.java","62","59","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","9","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=74","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/SimpleXXE.java","67","62","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","9","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=75","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/BlindSendFileAssignment.java","74","56","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","7","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=76","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/ContentTypeAssignment.java","62","59","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","6","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=77","New"
"Improper Restriction of XXE Ref","Java\Cx\Java Medium Threat\Improper Restriction of XXE Ref Version:3","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A4-XML External Entities (XXE)","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/SimpleXXE.java","67","62","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","6","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=78","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/BlindSendFileAssignment.java","74","56","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","10","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=389","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/ContentTypeAssignment.java","62","59","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","9","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=390","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/SimpleXXE.java","67","62","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","73","48","9","unmarshal","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=391","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/BlindSendFileAssignment.java","74","56","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","7","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=392","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/ContentTypeAssignment.java","62","59","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","6","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=393","New"
"SSRF","Java\Cx\Java Medium Threat\SSRF Version:1","","","","System And Information Integrity","SI-10 Information Input Validation (P1)","A5-Broken Access Control","","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/SimpleXXE.java","67","62","1","commentStr","WebGoat-8.0.0.M23/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/Comments.java","70","56","6","createXMLStreamReader","To Verify","Medium","","","http://DAEVEGA/CxWebClient/ViewerMain.aspx?scanid=67171&projectid=357&pathid=394","New"
